GEOID,NAME,variable,estimate,moe
16039,"Elmore County, Idaho",population,26433,NA
16041,"Franklin County, Idaho",population,13279,NA
16043,"Fremont County, Idaho",population,12965,NA
16045,"Gem County, Idaho",population,17052,NA
16047,"Gooding County, Idaho",population,15169,NA
16049,"Idaho County, Idaho",population,16337,NA
16051,"Jefferson County, Idaho",population,27969,NA
16053,"Jerome County, Idaho",population,23431,NA
16055,"Kootenai County, Idaho",population,153605,NA
16057,"Latah County, Idaho",population,39239,NA
16059,"Lemhi County, Idaho",population,7798,NA
16061,"Lewis County, Idaho",population,3845,NA
16063,"Lincoln County, Idaho",population,5321,NA
16065,"Madison County, Idaho",population,38705,NA
16067,"Minidoka County, Idaho",population,20615,NA
16069,"Nez Perce County, Idaho",population,40155,NA
16071,"Oneida County, Idaho",population,4326,NA
16073,"Owyhee County, Idaho",population,11455,NA
16075,"Payette County, Idaho",population,23041,NA
16077,"Power County, Idaho",population,7713,NA
16079,"Shoshone County, Idaho",population,12526,NA
16081,"Teton County, Idaho",population,11080,NA
16083,"Twin Falls County, Idaho",population,83666,NA
16085,"Valley County, Idaho",population,10401,NA
16087,"Washington County, Idaho",population,10025,NA
17001,"Adams County, Illinois",population,66427,NA
17003,"Alexander County, Illinois",population,6532,NA
17005,"Bond County, Illinois",population,16712,NA
17007,"Boone County, Illinois",population,53606,NA
17009,"Brown County, Illinois",population,6675,NA
17011,"Bureau County, Illinois",population,33381,NA
